word,meaning,pronunciation,syllables,partOfSpeech,example
abide,"머물다; 참다; 준수하다","/əˈbaɪd/","ab-id-e","verb","'abide'는 머무르다, 거주하다, 참다라는 뜻을 가지며, 특히 abide by 형태로 쓰일 때는 '~을 준수하다, ~을 따르다'라는 의미로 사용됩니다."
aboard,"탑승하여","/əˈbɔːd/","ab-oard","adverb","'Aboard'는 배, 비행기, 기차, 버스 등의 차량에 탑승하여, 타서, 탑승한이라는 뜻을 가진 부사입니다. 'Aboard'는 '판자(board) 위에(a=on)'라는 어원에서 시작되었으며, '배에, 차에' 올라타 있는 상태를 나타냅니다."
absent,"결석한, 없는","/ˈæb.sn̩t/","abs-ent","adjective","'absent'는 어떤 장소에 '없는' 또는 '결석한' 상태를 나타내는 형용사입니다. 주로 'be absent from ~' 형태로 '~에 결석하다'라는 의미로 사용됩니다."
absorb,"흡수하다","/əbˈsɔːb/","abs-orb","verb","'absorb'는 액체, 빛, 열 등을 '흡수하다'는 의미의 동사입니다. 비유적으로 정보나 지식을 받아들이거나, 어떤 것에 완전히 몰두하게 만들다는 의미로도 사용됩니다."
accent,"강세, 억양","/ˈak.sənt/","acc-ent","noun","'accent'는 특정 지역이나 국가의 독특한 '말투'나 '억양'을 의미하는 명사입니다. 또한, 단어의 특정 음절을 강하게 발음하는 '강세'를 뜻하기도 합니다."
accept,"받아들이다, 수락하다","/əkˈsɛpt/","ac-cept","verb","'accept'는 제안, 선물, 의견 등을 기꺼이 '받아들이다' 또는 '수락하다'는 의미의 동사입니다. 어떤 사실이나 상황을 인정하고 받아들인다는 뜻으로도 쓰입니다."
access,"접근, 접속","/ˈæk.sɛs/","ac-cess","noun","'access'는 장소나 정보 등에 '접근'할 수 있는 권리나 방법을 의미하는 명사입니다. 동사로도 쓰여 '접근하다', '접속하다'는 의미를 가집니다."
accident,"사고","/ˈæk.sɪ.dənt/","ac-cid-ent","noun","'accident'는 예상치 못하게 발생한 불행한 일, 특히 교통 '사고'를 의미하는 명사입니다. 'by accident'는 '우연히'라는 뜻으로 사용됩니다."
accompany,"동반하다, 동행하다","/əˈkʌm.pə.ni/","ac-com-pan-y","verb","'accompany'는 누군가와 '동행하다' 또는 어떤 일에 '동반하여 일어나다'는 의미의 동사입니다. 음악에서는 '반주하다'는 뜻으로도 사용됩니다."
accomplish,"성취하다, 이루다","/əˈkɒm.plɪʃ/","ac-com-plish","verb","'accomplish'는 노력 끝에 목표나 과업을 '성취하다' 또는 '이루다'는 의미를 가진 동사입니다. 'achieve'와 비슷한 의미로 사용됩니다."
account,"계좌; 설명","/əˈkaʊnt/","ac-count","noun","'account'는 은행 '계좌'라는 뜻으로 가장 흔하게 쓰이며, 사건에 대한 '설명'이나 '이야기'라는 의미도 있습니다. 'on account of'는 '~ 때문에'라는 뜻의 숙어입니다."
accuse,"고발하다, 비난하다","/əˈkjuːz/","ac-cus-e","verb","'accuse'는 어떤 사람이 잘못이나 범죄를 저질렀다고 '고발하다' 또는 '비난하다'는 의미의 동사입니다. 주로 'accuse A of B' 형태로 'A를 B의 혐의로 고발하다'와 같이 쓰입니다."
ache,"아프다, 통증","/eɪk/","ach-e","verb","'ache'는 몸의 특정 부위가 지속적으로 욱신거리며 '아프다'는 의미의 동사이며, '통증'이라는 명사로도 쓰입니다. 'headache'(두통), 'stomachache'(복통)처럼 다른 단어와 결합하여 사용되는 경우가 많습니다."
